"product_name","is_he","switch_type","layout","review"
"Aura Forge Omega",False,"Navy",80,"{""username"": ""CasualFox590_4aa7"", ""review_details"": ""Switches feel scratchy. I chose the Navy switches and I'm not impressed. Had high hopes, but it fell short. The plastic body feels a bit cheap. Would not recommend this keyboard.""}"
"Hyper Core Elite",False,"Green","96%","{""username"": ""HappyWriter149_624c"", ""review_details"": ""Had high hopes, but it fell short. Standard layout makes finding keycaps easy. The 96% layout is interesting. Switches feel scratchy. I chose the Green switches and I'm not impressed.""}"
"Giga Byte Pro",False,"Green","Full","{""username"": ""CleverCoder175_bed5"", ""review_details"": ""Really miss having a dedicated numpad. The Full layout is interesting. Perfect tactility for typing. The Green switches are particularly good. Stabilizers rattle quite a bit, especially the spacebar. Good for the price, but not perfect. Good entry-level option maybe.""}"
"Stellar Byte Alpha",1,"Silent Black","96%","{""username"": ""CleverFox486_506f"", ""review_details"": ""Highly recommend! Perfect balance between size and functionality. The 96% layout is interesting. The Hall Effect switches are game-changing for competitive gaming. Incredible value for the price.""}"
"Aura Pulse Mini",0,"Brown",60,"{""username"": ""HappyGamer591_5cb7"", ""review_details"": ""Good for the price, but not perfect. Took some time to get used to the layers. The 60 layout is interesting. You get what you pay for. The switches feel incredibly smooth. The Brown switches are particularly good.""}"
"Cyber Spectre Alpha 160",True,"Yellow","100%","{""username"": ""CasualNinja520_32d7"", ""review_details"": ""Not what I expected. Returning this immediately. The Hall Effect switches are game-changing for competitive gaming. The plastic body feels a bit cheap. Having dedicated arrow keys is essential for me. The 100% layout is interesting.""}"
"Mech Striker Air",True,"Blue",65,"{""username"": ""HappyNinja356_5343"", ""review_details"": ""Good entry-level option maybe. Low actuation force is comfortable. The Blue switches are particularly good. Really miss having a dedicated numpad. The 65 layout is interesting. Stabilizers rattle quite a bit, especially the spacebar. An average mechanical keyboard experience.""}"
"Arctic Core Pro","","Black","100%","{""username"": ""AngryWriter54_3ae6"", ""review_details"": ""Stabilizers rattle quite a bit, especially the spacebar. Several issues right out of the box. Really miss having a dedicated numpad. The 100% layout is interesting. Save your money.""}"
"Stellar Pulse Elite","","Green","96%","{""username"": ""SilentWriter328_aad0"", ""review_details"": ""Keycaps have a nice texture. Standard layout makes finding keycaps easy. The 96% layout is interesting. Definitely worth the money. Incredible value for the price. Linear switches are great for gaming. The Green switches are particularly good.""}"
"Quantum Blaze Lite",1,"Red","60%","{""username"": ""AngryFox916_ec9e"", ""review_details"": ""Linear switches are great for gaming. The Red switches are particularly good. Stabilizers are surprisingly good, minimal rattle. Exceeded my expectations! Wouldn't hesitate to buy again.""}"
"Arctic Blaze Max",False,"Jade",96,"{""username"": ""WiredGamer578_7f2b"", ""review_details"": ""The plastic body feels a bit cheap. Perfect balance between size and functionality. The 96 layout is interesting. Not what I expected.""}"
"Shadow Core Omega","","White",60,"{""username"": ""SilentTypist435_ce7d"", ""review_details"": ""Took some time to get used to the layers. The 60 layout is interesting. Keycaps feel thin and collect fingerprints. Regretting this buy. One star. Switches feel scratchy. I chose the White switches and I'm not impressed.""}"
"Aura Weaver V2 637","","Red",96,"{""username"": ""CleverNinja857_2eb7"", ""review_details"": ""Took some time to get used to the layers. The 96 layout is interesting. Perfect tactility for typing. The Red switches are particularly good. You get what you pay for. The aluminum case feels very premium.""}"
"Lunar Spectre Pro",1,"Silver",100,"{""username"": ""CleverWriter693_de6a"", ""review_details"": ""Stabilizers are surprisingly good, minimal rattle. Highly recommend! The compact layout saves so much desk space. The 100 layout is interesting. Solid build quality and performance.""}"
"Hyper Drift V2 291","","Green",75,"{""username"": ""ProPanda368_a400"", ""review_details"": ""Wouldn't hesitate to buy again. Solid build quality and performance. Standard layout makes finding keycaps easy. The 75 layout is interesting. Heavy and sturdy, doesn't slide around.""}"
"Quantum Weaver Omega",True,"Red",65,"{""username"": ""CasualCoder634_b594"", ""review_details"": ""Low actuation force is comfortable. The Red switches are particularly good. Braided cable is a nice touch. Incredible value for the price.""}"
"Mech Drift V2","","Clear","80%","{""username"": ""SleepyPanda564_2342"", ""review_details"": ""Perfect balance between size and functionality. The 80% layout is interesting. Highly recommend! Keycaps have a nice texture. Consistent keypresses across the board. The Clear switches are particularly good.""}"
"Giga Byte SE",0,"Brown",65,"{""username"": ""AngryBear154_453b"", ""review_details"": ""Perfect balance between size and functionality. The 65 layout is interesting. The aluminum case feels very premium. Spring ping is quite noticeable. I chose the Brown switches and I'm not impressed. An average mechanical keyboard experience.""}"
"Nova Raptor X 766","","Clear","65%","{""username"": ""GeekyCat329_97c0"", ""review_details"": ""Definitely worth the money. The aluminum case feels very premium. Low actuation force is comfortable. The Clear switches are particularly good. Finally found my endgame keyboard.""}"
"Stellar Byte Elite 788",True,"Black","Full","{""username"": ""GeekyBear202_95d9"", ""review_details"": ""Non-detachable cable is inconvenient. Feels cheap and unreliable. Accidentally actuating keys too often. I chose the Black switches and I'm not impressed. Took some time to get used to the layers. The Full layout is interesting.""}"
"Giga Weaver Air",0,"Silent Red",65,"{""username"": ""SilentCat230_24d4"", ""review_details"": ""Three stars - average. Switches feel scratchy. I chose the Silent Red switches and I'm not impressed. An average mechanical keyboard experience. Standard layout makes finding keycaps easy. The 65 layout is interesting.""}"
"Stellar Spectre Max",1,"Blue",75,"{""username"": ""CasualCoder576_a55c"", ""review_details"": ""Satisfyingly clicky sound! The Blue switches are particularly good. Keycaps have a nice texture. A joy to type on every day. Having dedicated arrow keys is essential for me. The 75 layout is interesting. Wouldn't hesitate to buy again. The Hall Effect switches are game-changing for competitive gaming.""}"
"Nova Raptor SE 831",0,"Green","TKL","{""username"": ""HappyFox11_203f"", ""review_details"": ""Look elsewhere if you value quality. Not what I expected. Switches feel scratchy. I chose the Green switches and I'm not impressed. Non-detachable cable is inconvenient.""}"
"Giga Raptor Omega 954",True,"Red","75%","{""username"": ""HappyWriter480_dfe1"", ""review_details"": ""The Hall Effect switches are game-changing for competitive gaming. Perfect balance between size and functionality. The 75% layout is interesting. Using the Red switches takes some getting used to. Three stars - average.""}"
"Stealth Blaze X",1,"Orange",80,"{""username"": ""HappyNinja520_07d4"", ""review_details"": ""Switches feel scratchy. I chose the Orange switches and I'm not impressed. Really miss having a dedicated numpad. The 80 layout is interesting. Very frustrating experience.""}"
"Shadow Phantom Air",1,"Clear","TKL","{""username"": ""AngryPanda978_3a2d"", ""review_details"": ""Look elsewhere if you value quality. RGB lighting is dim. Feels cheap and unreliable. The smoothness of these magnetic switches is unparalleled. The compact layout saves so much desk space. The TKL layout is interesting.""}"
"Mech Raptor SE",False,"Silent Red","TKL","{""username"": ""SwiftWriter892_b882"", ""review_details"": ""Mixed feelings about this one. Might work for some, but not for me. Standard layout makes finding keycaps easy. The TKL layout is interesting. Keypresses feel inconsistent. I chose the Silent Red switches and I'm not impressed.""}"
"Shadow Forge Alpha",0,"Orange","96%","{""username"": ""GeekyGamer898_e429"", ""review_details"": ""Returning this immediately. Several issues right out of the box. Non-detachable cable is inconvenient. Took some time to get used to the layers. The 96% layout is interesting.""}"
"Stealth Forge Air",0,"Jade","65%","{""username"": ""SwiftTypist615_738a"", ""review_details"": ""Solid build quality and performance. Having dedicated arrow keys is essential for me. The 65% layout is interesting. Stabilizers are surprisingly good, minimal rattle. Wouldn't hesitate to buy again.""}"
"Quantum Shift Max 261",0,"Blue","60%","{""username"": ""HappyTypist578_3e3b"", ""review_details"": ""Stabilizers are surprisingly good, minimal rattle. The compact layout saves so much desk space. The 60% layout is interesting. Definitely worth the money. Exceeded my expectations! The switches feel incredibly smooth. The Blue switches are particularly good.""}"
"Giga Striker Alpha 738",0,"Navy","96%","{""username"": ""WiredFox516_535e"", ""review_details"": ""Returning this immediately. Perfect balance between size and functionality. The 96% layout is interesting. The plastic body feels a bit cheap. Mushy feeling, lacks crispness. I chose the Navy switches and I'm not impressed.""}"
"Aura Blaze V2 319","","Silent Red","65%","{""username"": ""WiredFox93_cdeb"", ""review_details"": ""Heavy and sturdy, doesn't slide around. Finally found my endgame keyboard. Perfect balance between size and functionality. The 65% layout is interesting. Low actuation force is comfortable. The Silent Red switches are particularly good. Highly recommend!""}"
"Cyber Core V2",0,"Clear","60%","{""username"": ""CleverPanda514_708a"", ""review_details"": ""The compact layout saves so much desk space. The 60% layout is interesting. Perfect tactility for typing. The Clear switches are particularly good. Incredible value for the price.""}"
"Cyber Forge Alpha","","Orange",96,"{""username"": ""WiredFox128_4a8d"", ""review_details"": ""The aluminum case feels very premium. Exceeded my expectations! Took some time to get used to the layers. The 96 layout is interesting. Low actuation force is comfortable. The Orange switches are particularly good. Definitely worth the money.""}"
"Nova Core Pro",False,"Navy","Full","{""username"": ""WiredDev155_7ebc"", ""review_details"": ""Definitely worth the money. Finally found my endgame keyboard. Keycaps have a nice texture.""}"
"Stealth Drift X 683",False,"White","TKL","{""username"": ""SilentCat304_afc1"", ""review_details"": ""Highly recommend! The switches feel incredibly smooth. The White switches are particularly good. Took some time to get used to the layers. The TKL layout is interesting. Heavy and sturdy, doesn't slide around. A joy to type on every day.""}"
"Aura Striker Alpha",True,"Green","75%","{""username"": ""SilentWriter611_141c"", ""review_details"": ""Stabilizers rattle quite a bit, especially the spacebar. Returning this immediately. The smoothness of these magnetic switches is unparalleled. Switches feel scratchy. I chose the Green switches and I'm not impressed.""}"
"Arctic Shift Air 608",1,"Silent Black","65%","{""username"": ""SleepyPanda761_6e3c"", ""review_details"": ""Keycaps have a nice texture. Using the Silent Black switches takes some getting used to. Decent, but has its flaws.""}"
"Quantum Forge X",True,"Navy",65,"{""username"": ""WiredDev179_dff9"", ""review_details"": ""The smoothness of these magnetic switches is unparalleled. Non-detachable cable is inconvenient. Using the Navy switches takes some getting used to. Good entry-level option maybe. The compact layout saves so much desk space. The 65 layout is interesting.""}"
"Hyper Spectre SE",False,"White","96%","{""username"": ""ProTypist170_0dd2"", ""review_details"": ""Decent, but has its flaws. Good entry-level option maybe. Took some time to get used to the layers. The 96% layout is interesting. Switches feel scratchy. I chose the White switches and I'm not impressed. Non-detachable cable is inconvenient.""}"
"Arctic Blaze Omega","","Green",80,"{""username"": ""SleepyPanda128_f911"", ""review_details"": ""Consistent keypresses across the board. The Green switches are particularly good. Highly recommend! Took some time to get used to the layers. The 80 layout is interesting. RGB lighting is vibrant and customizable.""}"
"Lunar Core Alpha","","Black","65%","{""username"": ""GeekyFox986_8d27"", ""review_details"": ""Not what I expected. Look elsewhere if you value quality. The compact layout saves so much desk space. The 65% layout is interesting. Non-detachable cable is inconvenient.""}"
"Shadow Raptor V2",0,"Brown",96,"{""username"": ""CleverPanda198_f59a"", ""review_details"": ""Absolutely love this keyboard! Having dedicated arrow keys is essential for me. The 96 layout is interesting. Linear switches are great for gaming. The Brown switches are particularly good.""}"
"Mech Striker Pro",True,"White",96,"{""username"": ""CleverGamer668_27f3"", ""review_details"": ""Five stars! Low actuation force is comfortable. The White switches are particularly good. Standard layout makes finding keycaps easy. The 96 layout is interesting. A joy to type on every day. The smoothness of these magnetic switches is unparalleled.""}"
"Nova Phantom SE","","White","65%","{""username"": ""CleverCoder594_247a"", ""review_details"": ""Really miss having a dedicated numpad. The 65% layout is interesting. Might work for some, but not for me. RGB lighting is dim.""}"
"Stealth Weaver Elite","","Blue","100%","{""username"": ""CleverGamer469_27cc"", ""review_details"": ""My new daily driver. Perfect balance between size and functionality. The 100% layout is interesting. Absolutely love this keyboard! Linear switches are great for gaming. The Blue switches are particularly good.""}"
"Stellar Blaze SE",0,"Yellow","75%","{""username"": ""SwiftCat641_6462"", ""review_details"": ""RGB lighting is vibrant and customizable. Highly recommend! Perfect tactility for typing. The Yellow switches are particularly good.""}"
"Quantum Striker Alpha 349",0,"Silent Red","96%","{""username"": ""SwiftNinja471_cb59"", ""review_details"": ""Might work for some, but not for me. The compact layout saves so much desk space. The 96% layout is interesting. Keypresses feel inconsistent. I chose the Silent Red switches and I'm not impressed. Mixed feelings about this one.""}"
"Quantum Phantom XT 768",1,"Jade","100%","{""username"": ""CleverCoder579_d146"", ""review_details"": ""RGB lighting is dim. It's decent, but keep your expectations in check. Satisfyingly clicky sound! The Jade switches are particularly good. Adjustable actuation points are incredibly useful. An average mechanical keyboard experience.""}"
"Stellar Striker Omega",False,"Blue","Full","{""username"": ""AngryDev72_47fb"", ""review_details"": ""RGB lighting is vibrant and customizable. Absolutely love this keyboard! Having dedicated arrow keys is essential for me. The Full layout is interesting.""}"
"Mech Pulse Alpha",1,"Silver","TKL","{""username"": ""CasualWriter587_4917"", ""review_details"": ""Too loud for an office environment. I chose the Silver switches and I'm not impressed. Standard layout makes finding keycaps easy. The TKL layout is interesting. Good for the price, but not perfect.""}"
"Aura Shift SE",True,"Clear","100%","{""username"": ""SleepyTypist273_5ffb"", ""review_details"": ""Mixed feelings about this one. Low actuation force is comfortable. The Clear switches are particularly good. Really miss having a dedicated numpad. The 100% layout is interesting. Being able to customize the reset point is fantastic. RGB lighting is vibrant and customizable.""}"
"Lunar Byte Pro","","Black","65%","{""username"": ""CleverCat542_038d"", ""review_details"": ""Would not recommend this keyboard. Accidentally actuating keys too often. I chose the Black switches and I'm not impressed. The compact layout saves so much desk space. The 65% layout is interesting. Keycaps feel thin and collect fingerprints.""}"
"Arctic Phantom XT",False,"Blue","75%","{""username"": ""ProFox910_b358"", ""review_details"": ""RGB lighting is dim. Feels cheap and unreliable. Spring ping is quite noticeable. I chose the Blue switches and I'm not impressed. Look elsewhere if you value quality. Having dedicated arrow keys is essential for me. The 75% layout is interesting.""}"
"Stellar Raptor Alpha","","Silver","Full","{""username"": ""GeekyCoder714_651e"", ""review_details"": ""RGB lighting is dim. Had high hopes, but it fell short. Would not recommend this keyboard. Keypresses feel inconsistent. I chose the Silver switches and I'm not impressed.""}"
"Stellar Spectre Lite",False,"Yellow","75%","{""username"": ""CasualGamer735_1d4b"", ""review_details"": ""An average mechanical keyboard experience. Good entry-level option maybe. Perfect balance between size and functionality. The 75% layout is interesting.""}"
"Hyper Blaze Max 940",False,"White",80,"{""username"": ""ProDev113_b877"", ""review_details"": ""Really miss having a dedicated numpad. The 80 layout is interesting. Non-detachable cable is inconvenient. Switches feel scratchy. I chose the White switches and I'm not impressed. An average mechanical keyboard experience. It's decent, but keep your expectations in check.""}"
"Lunar Spectre X",0,"White","80%","{""username"": ""ProPanda197_ef48"", ""review_details"": ""Too loud for an office environment. I chose the White switches and I'm not impressed. Really miss having a dedicated numpad. The 80% layout is interesting. Feels cheap and unreliable.""}"
"Mech Spectre Air",False,"Silver","80%","{""username"": ""SleepyDev265_c230"", ""review_details"": ""Satisfyingly clicky sound! The Silver switches are particularly good. Wouldn't hesitate to buy again. Heavy and sturdy, doesn't slide around. The compact layout saves so much desk space. The 80% layout is interesting. Finally found my endgame keyboard.""}"
"Shadow Phantom Lite",1,"Navy","65%","{""username"": ""SleepyNinja66_8694"", ""review_details"": ""Stabilizers rattle quite a bit, especially the spacebar. Returning this immediately. Not what I expected. Accidentally actuating keys too often. I chose the Navy switches and I'm not impressed. The smoothness of these magnetic switches is unparalleled.""}"
"Cyber Forge XT 814","","White","65%","{""username"": ""AngryNinja994_b4dc"", ""review_details"": ""Keycaps have a nice texture. Exceeded my expectations! Having dedicated arrow keys is essential for me. The 65% layout is interesting. Definitely worth the money. Linear switches are great for gaming. The White switches are particularly good.""}"
"Mech Shift SE",True,"Red","TKL","{""username"": ""CasualCat348_ec41"", ""review_details"": ""Keycaps feel thin and collect fingerprints. Spring ping is quite noticeable. I chose the Red switches and I'm not impressed. Save your money. Not what I expected. Rapid trigger feature works flawlessly.""}"
"Giga Core X",1,"Yellow",60,"{""username"": ""AngryCat672_e4c3"", ""review_details"": ""Might work for some, but not for me. Stabilizers rattle quite a bit, especially the spacebar. Too loud for an office environment. I chose the Yellow switches and I'm not impressed. Mixed feelings about this one. The compact layout saves so much desk space. The 60 layout is interesting.""}"
"Cyber Striker X",False,"Silent Red",65,"{""username"": ""CleverTypist529_833c"", ""review_details"": ""One star. Keypresses feel inconsistent. I chose the Silent Red switches and I'm not impressed. The compact layout saves so much desk space. The 65 layout is interesting. RGB lighting is dim. Regretting this buy.""}"
"Arctic Phantom Max",1,"Silent Red","75%","{""username"": ""SwiftWriter38_7501"", ""review_details"": ""An average mechanical keyboard experience. Using the Silent Red switches takes some getting used to. Three stars - average. Rapid trigger feature works flawlessly.""}"
"Arctic Forge Lite",0,"Blue","65%","{""username"": ""AngryGamer215_9b80"", ""review_details"": ""Having dedicated arrow keys is essential for me. The 65% layout is interesting. Might work for some, but not for me. Low actuation force is comfortable. The Blue switches are particularly good. It's an okay keyboard, does the job. Stabilizers are surprisingly good, minimal rattle.""}"
"Stealth Raptor Max",False,"Navy",65,"{""username"": ""CleverGamer189_d455"", ""review_details"": ""Might work for some, but not for me. Mushy feeling, lacks crispness. I chose the Navy switches and I'm not impressed. Good for the price, but not perfect. The compact layout saves so much desk space. The 65 layout is interesting.""}"
"Cyber Striker XT 178",1,"White","100%","{""username"": ""AngryGamer93_ac7d"", ""review_details"": ""Save your money. Not what I expected. Noticeable case ping. The compact layout saves so much desk space. The 100% layout is interesting. Spring ping is quite noticeable. I chose the White switches and I'm not impressed.""}"
"Stellar Striker XT","","Jade","60%","{""username"": ""SleepyNinja271_0346"", ""review_details"": ""Definitely worth the money. The compact layout saves so much desk space. The 60% layout is interesting. Exceeded my expectations! Keycaps have a nice texture. Satisfyingly clicky sound! The Jade switches are particularly good.""}"
"Stealth Shift Pro",False,"Jade",100,"{""username"": ""WiredPanda452_976c"", ""review_details"": ""Non-detachable cable is inconvenient. Spring ping is quite noticeable. I chose the Jade switches and I'm not impressed. Returning this immediately. Quite disappointed with this purchase. Perfect balance between size and functionality. The 100 layout is interesting.""}"
"Cyber Pulse X",1,"Black","60%","{""username"": ""CasualFox817_e824"", ""review_details"": ""Low actuation force is comfortable. The Black switches are particularly good. Highly recommend! Exceeded my expectations!""}"
"Giga Striker Lite 307",0,"Jade","75%","{""username"": ""SwiftNinja971_3666"", ""review_details"": ""Solid build quality and performance. Highly recommend! Low actuation force is comfortable. The Jade switches are particularly good. Keycaps have a nice texture. The compact layout saves so much desk space. The 75% layout is interesting.""}"
"Lunar Core Pro",True,"Silent Black",75,"{""username"": ""SleepyTypist949_0ed8"", ""review_details"": ""The smoothness of these magnetic switches is unparalleled. Using the Silent Black switches takes some getting used to. Noticeable case ping. Good for the price, but not perfect.""}"
"Quantum Weaver Air",True,"Silver",80,"{""username"": ""SleepyWriter927_ed34"", ""review_details"": ""Having dedicated arrow keys is essential for me. The 80 layout is interesting. Non-detachable cable is inconvenient. Not what I expected. Mushy feeling, lacks crispness. I chose the Silver switches and I'm not impressed.""}"
"Aura Forge X",1,"Silver","Full","{""username"": ""HappyFox414_fcd8"", ""review_details"": ""Stabilizers are surprisingly good, minimal rattle. Linear switches are great for gaming. The Silver switches are particularly good. Standard layout makes finding keycaps easy. The Full layout is interesting. Wouldn't hesitate to buy again. Rapid trigger feature works flawlessly.""}"
